seed,Baseline,DR_Dis0,DR_Dis1,DR_Hin0,DR_Hin1,DR_Mat,DR_Bel,DR_Mix,DA_WCT2_DR_Hin1,DA_WCT2_B,DA_FCUT_DR_Hin1
0,0.056538,0.037501,0.056700,0.071410,0.086702,0.059588,0.058340,0.058725,0.082603,0.056737,0.076379 
1,0.056953,0.031664,0.059661,0.076058,0.085484,0.062526,0.050320,0.055794,0.083533,0.062685,0.082164
2,0.058816,0.037433,0.048639,0.061679,0.086238,0.060232,0.053559,0.058336,0.081812,0.059940,0.074758
