seed,Baseline,DR_Mat,DR_Bel,DR_Dis0,DR_Dis1,DR_Hin0,DR_Hin1,DR_Mix,DA_WCT2_B,DA_WCT2_DR_Hin1,DA_FCUT_DR_Hin1
1 ,0.066303,0.007900,0.047808,0.063393,0.155217,0.116051,0.181468,0.249242,0.069489,0.174976,0.126397
10,0.062221,0.009163,0.049042,0.056374,0.096186,0.118631,0.225028,0.200145,0.067425,0.182982,0.129892
42,0.049016,0.006087,0.050020,0.065031,0.122279,0.109802,0.174123,0.207614,0.055856,0.182963,0.152720
